"#","FORM #","INCIDENT TITLE","INCIDENT DATE","LOCATION","DESCRIPTION","CATEGORY","LATITUDE","LONGITUDE","FIRST NAME","LAST NAME","EMAIL","APPROVED","VERIFIED"
"6732","0","Protesters block C’River APC office, demand chairman’s resignation","2025-11-13 12:15:00","cross river","Protesters, including 35 chapter chairmen and secretaries, blocked the All Progressives Congress state office in Calabar on Wednesday, demanding the resignation of State Chairman Alphonsus Eba.

The demonstrators carried placards with messages such as “Okadigbo must go,” “The party can’t be starving while you are living large,” and “APC Cross River State deserves fresh air.”

Protesters, including 35 chapter chairmen and secretaries, blocked the All Progressives Congress state office in Calabar on Wednesday. Photo: Emem Julius.
The protesters denied access in and out of the party secretariat.
Meanwhile, no member of the APC State Working Committee had addressed them as of press time.

The protest follows a communique issued on Tuesday from 18 chapter chairmen and 17 secretaries, represented by High Chief Kelvin Njong, calling for Eba’s immediate resignation.

Protesters, including 35 chapter chairmen and secretaries, blocked the All Progressives Congress state office in Calabar on Wednesday. Photo: Emem Julius.
They cited loss of trust, withheld three-month stipends, unequal fund allocations, misappropriation of election proceeds, and incitement.

Eba, however, denied the allegations, explaining that salaries are paid directly to ward executives and that chairmen’s pay is withheld pending an internal probe.","Early Warning signal","9.08166","8.677358","favour","amanze","ciepdngo@gmail.com","NO","NO"
"6731","0","Farmers Protest Alleged Detention Of Monarchs, Takeover Of Ancestral Lands In Ondo","2025-11-13 12:05:00","ondo","Aggrieved farmers from five communities in Ondo East council area of Ondo State have protested the alleged illegal detention of two traditional rulers and the forceful takeover of their ancestral lands.

The protesters who stormed the governors office, came from Italemikan, Abusoro, Ateru, Igbomowo, and Uloko Agbonden communities.

They displayed various placards with inscriptions such as “Free Our Obas Now,” “We Say No to Land Grabbing,” and “We Want Justice for Our Communities.”

Their spokesperson , Kokuma  Akinwande, alleged that they have been using police and armed men to intimidate residents and arrest those who challenged them of encroaching their land.

Akinwande, said the two detained monarchs  were “framed” and remanded in prison through the influence of the said land grabber.

Mr. Akinwande further alleged that the two monarchs were unlawfully arrested and remanded after refusing to cede community lands.","Early Warning signal","9.08166","8.677358","favour","Amanze","ciepdngo@gmail.com","NO","NO"
"6730","0","Ondo farmers protest monarchs’ detention, alleged land grabbing","2025-11-12 11:30:00","Ondo","Some farmers in Ondo East Local Government Area of Ondo State on Tuesday took to the streets to protest against the activities of some land grabbers in the communities.

The protesters who converged on the Governor’s Office, Akure, chanting solidarity songs, alleged that two of their traditional rulers had been illegally detained in prison custody.

The farmers said they were from five villages of Ondo West LG  , which include Italemikan, Abusoro, Ateru, Igbomowo, and Uloko Agbonden communities.

While protesting in front of the governor’s office, they wielded placards with inscriptions such as ‘Free Our Obas Now,’ ‘We Say No to Land Grabbing,’ ‘We Want Justice for Our Communities,’ among others.

The aggrieved farmers alleged that some people had been terrorising their communities with police and armed men to intimidate and harass anybody who challenged them on the land .

Speaking on behalf of the protesters, one of their leaders, Kokuma Akinwande, said the two detained monarchs — the Olu of Igba Community, Oba Shina Olayele, and the Olu of Uloko Agbonden, Oba Moses Apalara, were allegedly arrested and remanded in prison through the influence of a land grabber.

He said, “We are here because a notorious land grabber came to our land claiming his father owns everything from Ita ila to Oboto — we have never seen him before.

He further alleged that the two monarchs were unlawfully arrested and remanded after refusing to cede the community lands to the land grabbers.

“Our two Obas, the Olu of Igba, Shina Olayele, and the Olu of Uloko Agbonden, HRH Moses Awonusi Apalara, are now in prison because they defended our land. We are appealing to Governor Lucky Aiyedatiwa to intervene and free them,” he pleaded.

Another protester, identified as Akinkunmi, said the communities had earlier written petitions to the governor, the chief judge, and the speaker of the Ondo State House of Assembly without getting any response.

“We don’t want violence or crisis in our land. That is why we came peacefully to seek government intervention. We just want justice and for our traditional rulers to be released,” he appealed.

The protesters urged the state government to intervene in the alleged land grabbing and harassment of their people.

When contacted, the state Commissioner for Information, Idowu Ajanaku, said the government would investigate the matter and assured all that justice would be served.","Early Warning signal","9.08166","8.677358","Favour","Amanze","ciepdngo@gmail.com","NO","NO"
"6729","0","15 Young Girls Rescued As Police Bust Sex Trafficking Syndicate In Ondo State, Arrest Prime Suspect In Akure","2025-11-12 11:21:00","Ondo","Ondo Police busts sex trafficking ring, rescues 15 young women lured by fake job offers in Akure.

The Ondo State Police Command has uncovered and dismantled a sex trafficking syndicate operating under the guise of job recruitment and social media content creation in Akure, the state capital.

According to a statement issued on Saturday by the Police Public Relations Officer (PPRO), Ayanlade Olushola, the operation followed weeks of surveillance after reports surfaced that unsuspecting young women were being lured to Akure with fake promises of employment opportunities.

“Acting on credible intelligence, operatives of the Command’s Special Weapons and Tactics (SWAT) Unit stormed an apartment in the Alagbaka area of Akure and arrested one Jayeola Joshua and two other accomplices, while efforts are ongoing to apprehend other fleeing members of the gang.

 “Investigations revealed that the syndicate recruited victims from across the country with false offers of jobs such as domestic work, ushering services, and overseas placements.

“Upon arrival in Akure, 15 young women aged between 20 and 26 were reportedly lodged in a rented apartment in Alagbaka, which served as the base of operations for the illicit business”, the state read.

According to the PPRO, further investigations showed that the victims were manipulated into sending nude images and videos, which were later transmitted to clients procuring sexual services, stressing that the suspects allegedly posed as content creators producing “relationship skits” for social media to conceal their criminal activity.

The PPRO added that the principal suspect, Jayeola Joshua, received the largest share of the proceeds while deceiving the victims into believing they were working in a legitimate business. 

Related News:
Police Bust Child Trafficking Syndicate in Plateau State, Rescue Five Children
NAPTIP, DSS Bust Human Trafficking Syndicate Led by Female Truck Driver
NAPTIP, DIA Bust Trans-Border Human Trafficking Syndicate, Rescue 21 Victims Across Nigeria, Senegal
“The police also discovered that the apartment was rented specifically to facilitate the illegal trade. The Commissioner of Police, Adebowale Lawal, has directed that the landlords of the property be invited for questioning to determine their level of complicity in the matter.

“Meanwhile, all rescued victims have been taken to the Police Hospital in Akure for medical attention, psychological evaluation, and counseling. The case has also been transferred to the Command’s Gender Desk Unit for further investigation and rehabilitation of the victims. The Police Commissioner ordered that all arrested suspects face prosecution, while efforts continue to track down the remaining members of the gang.

Reaffirming the Command’s zero-tolerance stance on human trafficking and sexual exploitation, the police command urged parents and guardians to be cautious about job offers for their wards and to verify the authenticity of recruitment agents before allowing their children to travel.

He also called on members of the public to remain vigilant and report suspicious activities to security agencies, stressing that community partnership remains crucial in the ongoing fight against crime in the state.","Violence Against Women and Girls - VAWG","9.08166","8.677358","Amanze","favour","ciepdngo@gmail.com","NO","NO"
"6728","0","Residents protest abandoned Ijoka Road project in Ondo","2025-11-12 11:16:00","Ondo","Residents of the Ijoka community in Akure South Local Council of Ondo State yesterday shut down socio-economic activities in the area while protesting against the abandoned and deplorable state of the major road linking the community to other parts of the Akure metropolis.

The angry residents, who mounted barricades on the road with logs of wood and piles of stones as early as 7:00 a.m., forced hundreds of commuters to abandon their vehicles and trek long distances to their destinations.

As the gridlock extended to adjoining major routes such as Oda Road and Oluwatuyi, the protesters accused the state government of abandoning the dualisation of the Ijoka Road project, which was inaugurated about seven years ago during the administration of the late Governor Oluwarotimi Akeredolu.

They alleged that all work on the road stopped following the governor’s death in December 2023, and that the road, described as one of the busiest and most strategic routes in the state capital, had since deteriorated further.

Carrying placards with inscriptions such as “Fix Ijoka Road, Save Our Lives”, “No More Promises, We Need Action”, and “We Deserve Good Roads Too”, the protesters sang solidarity songs and demanded immediate government intervention, lamenting that “we’ve been forgotten since Akeredolu died.”

Commercial drivers and motorcycle operators, popularly known as okada riders, also joined the demonstration, honking their horns and calling for the mobilisation of contractors to the site.

One of the protest leaders, Dele Akinola, said the action became inevitable after years of neglect and unfulfilled promises by successive administrations.

He said, “It’s painful; this road was a top priority for the late governor. He came here himself and promised it would be completed. After his passing, it’s as if the government forgot we exist. The partial work done has already begun to deteriorate due to erosion and lack of maintenance.

“Every rainy season, this road becomes a river. Cars break down daily, tricycles tip over, and people get injured. We have written petitions, made appeals, and even met with government officials, but nothing tangible has been done. This protest is not political; we only want a motorable road. That’s all we’re asking for.”

A community leader, Chief Kayode Ogunleye, appealed to Governor Lucky Aiyedatiwa to honour Akeredolu’s legacy by completing the abandoned project, stressing that “finishing this road would be the best way to respect the memory of his predecessor and ease the suffering of thousands of Akure residents.”

Attempts to speak with the Commissioner for Works, Abiola Olawoye, were unsuccessful, but a senior official in the ministry, who spoke on condition of anonymity, acknowledged that the government was aware of the poor condition of the road and assured that plans were underway for its rehabilitation.

The Chairman of Akure South Local Council, Gbenga Fasua, who visited the protest scene, appealed to residents to remain calm.He said, “We understand your frustration, and the government is not turning a blind eye. Work on Ijoka Road will commence shortly. I appeal to all residents to cooperate and be patient while the authorities put measures in place to fix this road once and for all.”","Early Warning signal","9.08166","8.677358","Favour","Amanze","ciepdngo@gmail.com","NO","NO"
"6727","0","Protesters suspend opening of Edo museum of West African art","2025-11-12 11:08:00","https://www.vanguardngr.com/2025/11/protesters-suspend-opening-of-edo-museum-of-west-african-art/","The opening of a contested museum in Nigeria, meant to display West African art, has been postponed after protesters disrupted a private visit on Sunday, officials said.
The opening of a contested museum in Nigeria, meant to display West African art, has been postponed after protesters disrupted a private visit on Sunday, officials said.

MOWAA was launched five years ago by Nigerian businessman Phillip Ihenacho in Benin City, Edo State, with the support of its former governor.

It has also been financed with help from the French and German governments as well as the British Museum, and from private donors.

Ads by 
It is due to house exhibition spaces and archives and aims to host residencies for west African artists and craftspeople, and on Sunday was holding a pre-opening event for donors and industry professionals.

But around 20 men, some armed with wooden bats, stormed into the museum courtyard, forcing guests to take refuge inside.

The group, whose demands were not clear, caused minor damage in the museum courtyard, AFP reporters saw.

“Protesters entered and began vandalising part of the reception pavilion, where we receive visitors, then they stormed inside the front section, where the exhibition area is located,” Ihenacho told AFP.

After around two hours, guests were escorted away in buses to a nearby hotel.

The museum has sparked tensions between the former state governor and his successor, an ally of the city’s traditional ruler, Oba Ewuare II, who says he should be in charge of the museum.

Benin for years has been trying to recover artefacts seized during the colonial era, in particular the “Benin Bronzes” looted more than 120 years ago.

Most of the ornate bronzes were seized by British soldiers in a retaliatory raid on Benin, and then auctioned off or sold to museums across Europe and the United States.

Ihenacho said he believed the protesters were “representatives from the palace” of Oba Ewuare II.

“We have never pretended to be anything other than the Museum of West African Art,” Ihenacho added.

Nigeria’s Culture Minister Hannatu Musa Musawa condemned the incident in a statement late Sunday.

“The reported disruption at MOWAA not only endangers a treasured cultural asset but also threatens the peaceful environment necessary for cultural exchange and the preservation of our artistic patrimony,” she said.

“We are in active consultation with the Edo State government, security agencies and all relevant stakeholders to establish a full understanding of the circumstances and to ensure and appropriate and proportionate response,” she said in a statement.","Early Warning signal","9.08166","8.677358","Favour","Amanze","ciepdngo@gmail.com","NO","NO"
"6726","0","Police arrest suspect for raping woman to death in Rivers","2025-11-07 13:27:00","Rivers state","The Rivers State Police Command said its operatives have arrested a suspect who allegedly raped a young woman to death in Oyigbo Local Government Area of the state.

The incident reportedly occurred on Monday when the lifeless body of the woman, said to be an orphan, was found in her room.

The case came to public attention when a user on X, claiming to be a family friend of the deceased, raised the alarm and called on the police to intervene immediately.

The poster added that occupants of the compound where the woman lived reportedly fled after the shocking discovery, possibly for fear of being implicated.

The statement, which was reposted by popular blogger Lindaikeji, partly read, “Nigerians, I need your help. Please help me call the police. I’m heartbroken as I type this. My family friend was raped and strangled to death in her room at Oyigbo on Monday night.”

The user also said the remains of the woman, simply identified as Ugochi, had been deposited in the morgue.

“Ugochi and her sister are helpless orphans who have nobody to fight for them. We are heartbroken. It’s unending tears and agony. Please help our voice get amplified. Please help us get justice,” the user added.

Although the full details of the incident could not be ascertained as of Thursday evening, it was gathered that the case caused panic in the densely populated area on the outskirts of Port Harcourt.

Meanwhile, the spokesperson for the State Police Command, Grace Iringe-Koko, confirmed the incident and the arrest of the suspect to our correspondent on Thursday, saying he is in custody.

Iringe-Koko, a Superintendent of Police, stated, “Yes, I can confirm the incident, and the suspect has been arrested. The case has been transferred to the State Criminal Intelligence and Investigation Department.

“The body of the woman has been deposited in the morgue, and investigation is ongoing. Further details will be made known in due course.”

Rivers State has in recent years witnessed multiple cases of sexual violence and attacks on vulnerable individuals, prompting the state police command to intensify surveillance and community policing in high-risk areas.","Violence Against Women and Girls - VAWG","9.08166","8.677358","Amanze","favour","ciepdngo@gmail.com","NO","NO"
"6725","0","Delta group protests Mutu’s 26-year reign as House of Reps member","2025-11-07 12:09:00","Delta","Lawmaker representing Bomadi, Patani Federal Constituency of Delta State, in the House of Representatives, Nicholas Mutu, is facing rejection from his consistency.

A socio-political group under the aegis of Movement for the Rotation of Power in Bomadi/Patani Federal Constituency has protested the lawmaker’s presence in the House of Reps for 26 years, since 1999.

The group also known as Patani Agenda 2027, staged a peaceful protest to the Governor of Delta State, Sheriff Oborevwori demanding a shift in political representation of the constituency ahead of the 2027 general elections.

Led by Mrs Binaebi Keboh, the group marched to the Government House Asaba, lamenting that the long stay of one individual in the position has created political imbalance, underdevelopment, and marginalization of Patani communities.

“Our call today is not just political, it is moral. Patani has been sidelined for 26 years. The time has come to allow equity, fairness, and justice in our constituency,” Keboh said.

The group listed several alleged failures under Mutu’s long representation, including poor legislative visibility, absence of impactful bills, lack of strategic federal presence, and neglect of Patani LGA in constituency development projects.

Keboh, said the group supported Governor Oborevwori passionately during the 2023 elections and played strategic roles in stabilizing his mandate during legal litigations, adding that the constituency expects “fair political accommodation in return.”

Some other members of the movement, including, Chris Anthony, Pastor Avwoke Fredrick, Comrade Enai Barry, maintained that there is no major federal project to show for 26 years of representation. No notable road infrastructure, no industrial development, nothing meaningful for the youth. We cannot continue like this.

Key demands of the group include, the rotation of the Bomadi/Patani House of Representatives seat to Patani LGA in 2027, exclusion of Nicholas Mutu from the 2027 House of Representatives contest, direct intervention by Governor Oborevwori in zoning arrangements, warning to all political parties that fielding Mutu again may lead to electoral backlash and a recognition of Patani Agenda 2027 as a legitimate democratic movement.

The group maintained that the movement is “peaceful but determined” and warned that any attempt to retain the seat in Bomadi LGA could spark resistance at the polls.

In his response, Chief of Staff to the Governor, Prince Johnson Erijo, who addressed the protesters on behalf of Governor Sheriff Oborevwori assured the people of Bomadi/ Patani federal constituency that all aspirants will be given a level playing ground to contest the position.

“One thing I can assure you is that everyone who wants to contest for any position in the 2027 election will be given a level playing ground. Even the President, Bola Tinubu and Governor Sheriff Oborevwori will be subjected to the electoral processes,” he stated.

While commending the group for their solidarity and support to the Governor Sheriff Oborevwori and President Bola Tinubu, Prince Erijo also thanked members of the movement for conducting themselves in a peaceful manner and assured that all their concerns will get to the State Governor.

He urged them to continue to maintain peace in their federal constituency as the state government under the leadership of Governor Sheriff Oborevwori is committed to ensure that Deltans enjoy the dividends of democracy.","Early Warning signal","9.08166","8.677358","Favour","Amanze","ciepdngo@gmail.com","NO","NO"
"6724","0","Police go after six men who brutalised woman in Imo","2025-11-05 15:22:00","rivers","OWERRI — The Imo State Police Command has launched a manhunt for six men who allegedly brutalised a 55-year-old woman, Mrs. Agu Ndidiamaka, for assisting the police in an investigation.

The Command’s spokesperson, Mr. Henry Okoye, confirmed the incident in a statement, revealing the identities of the suspects linked to the attack.

According to him, the Commissioner of Police, CP Aboki Danjuma, has ordered an immediate and thorough investigation into a viral video showing the woman being assaulted by a group of men in Umuakaliukwu Kindred, Uboegbelu, Azaraubo, Emekuku.

“Acting on the CP’s directive, the X-Squad Unit has begun efforts to arrest and bring all those involved in the appalling act to justice without delay,” Okoye said.

Preliminary investigations identified the suspects as Osuji Chiazor, Agu Azubike, Njoku Onyedikachi, Njoku Eugene, Njoku Dikachi, Njoku Emmanuel, and Iwuala Chukwuma.

The assault was reportedly carried out because the victim cooperated with police officers who had earlier visited the community during an investigation.

Okoye added that efforts are ongoing to apprehend the suspects, after which they will be charged to court.

He further noted that the Commissioner of Police strongly condemned the incident, describing it as “barbaric, inhuman, and totally unacceptable,” warning that the Command will not tolerate jungle justice or intimidation of citizens who lawfully assist law enforcement.","Violence Against Women and Girls - VAWG","9.08166","8.677358","Favour","Amanze","ciepdngo@gmail.com","NO","NO"
"6723","0","Rivers market shut as traders stab man to death","2025-11-05 15:19:00","Rivers","A popular market along the SARS Road in Obio/Akpor Local Government Area of Rivers State has been shut following the killing of a man identified as Ejike by a group of meat sellers allegedly from the North.

PUNCH Metro gathered that the incident occurred around 11am on Sunday, following a disagreement over N500.

Eyewitnesses in the Obio/Akpor International Market, popularly called Amaechi Market, told our correspondent on Tuesday that the attackers, numbering over 20, stabbed Ekije multiple times with daggers.

Some traders in the market, mostly women, said they were too scared to intervene, adding that a yet-to-be-identified man who tried to rescue Ejike was also stabbed in the ribs and is currently in critical condition in the hospital.

Our correspondent learnt that peeved by the development, the women began mobilising on Monday and protested at the Obio/Akpor council headquarters to register their displeasure and fears, calling on the council chairman to intervene.

The protesting women said they no longer felt safe in the market due to the violent activities of the traders, who they also accused of dealing in illicit drugs behind the market.

One of the women, who refused to be identified, said,  “One man is dead, and the person who tried to rescue Ejike is in the hospital in a coma. These people should leave our market for us so that peace can reign. Now, the market has been shut down because of what happened,So, we want peace. Women have been crying since Sunday that this boy was stabbed. More than 20 of them confronted this boy. It was a small issue, and they started pursuing the boy. He fell down, and they started stabbing him. It was on Sunday, so not everybody came to the market. They said they were dragging N500.”

Another trader who refused to mention her name for fear of being identified said, “When we close from the market, sometimes, we don’t meet with things the same the next day.

“They break our shops, steal our things. We don’t need them again in this market. They sell drugs behind the market and do all sorts of things. Let the government help us and push them out of this market because we are not safe.”

The chairman of the market, C.P. Oburu, who said he was informed about the incident while in church, told PUNCH Metro that he was pronounced dead at a hospital in the area.

He said, “When I got the call while I was in church, I ran to the scene of the crime and discovered that he (Ejike) was not having life in him. The doctor confirmed him dead when we rushed him to the hospital.

“From there, we went to the police. I met the Divisional Police Officer, who said we should take the body to the mortuary and gave us a patrol team. We returned. This morning, the market women staged a protest at the council.”

He confirmed that the local government authority and the police had since sealed the market and made some arrests, saying the market would remain closed until further notice.

“We met at the council, and the local government chairman promised to quickly intervene to arrest the situation and get the people involved arrested. He sent men from the police, anti-cultism unit, and civil defence. They have made some arrests. And the place is calm. For now, the market is under lock and key until further notice.”

When contacted on Tuesday, the spokesperson for the state police command, Grace Iringe-Koko, confirmed the incident but said the perpetrators are unknown.

Iringe-Koko, a Superintendent of Police, also confirmed that one person died in the incident, saying the police mobilised quickly to forestall further violence; even as she was silent on arrest.

She said: “The victim was stabbed by unidentified persons. Meanwhile, the Commissioner of Police has already deployed tactical units to cordon off the market and to ensure that the perpetrators are brought to book. Investigation is ongoing.”","Early Warning signal","9.08166","8.677358","Favour","Amanze","ciepdngo@gmail.com","NO","NO"
